label,fold,level,scale_pos_weight,roc_auc,ap,brier,pos_rate,n
HLT_Mu17_Mu8,1,pair,42.42889212713166,0.6560080386786602,0.041239077947705594,0.2139214173459929,0.023622218516397068,275842
HLT_Mu17_Mu8,2,pair,42.148469906863895,0.6567071451510768,0.040987897136151384,0.21409168030654713,0.023024038792587947,275929
HLT_Mu17_Mu8,3,pair,42.09381104946472,0.6487603003236682,0.038881262338979726,0.21419110231645572,0.022906219838752986,275602
HLT_Mu17_Mu8,4,pair,42.044382855804514,0.6506065112388341,0.038718086278831186,0.2139086006049156,0.022799944894393003,275834
HLT_Mu17_Mu8,5,pair,42.31227670684308,0.6467901393711403,0.038811522760046555,0.2147790354944471,0.023374906478582688,275338
HLT_Mu17_Mu8_DZ,1,pair,49.01827996008346,0.6689139038877223,0.036598151305020435,0.21019096197149323,0.020323228514874458,275842
HLT_Mu17_Mu8_DZ,2,pair,48.83800397758091,0.6710138759933919,0.03703609172274982,0.2098391646515155,0.02003413921697248,275929
HLT_Mu17_Mu8_DZ,3,pair,48.71570881226054,0.6616950970077224,0.03459304726536321,0.21024989062178134,0.019836575931959855,275602
HLT_Mu17_Mu8_DZ,4,pair,48.635893050054015,0.6675084547923446,0.03506782656876075,0.20981423111929517,0.019707505238658034,275834
HLT_Mu17_Mu8_DZ,5,pair,49.06157825475337,0.6605598899294887,0.0356780677299271,0.2107851167627161,0.020393116823685796,275338
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ,1,pair,1.2122285127332695,0.8584463977041189,0.8073818008475004,0.1526752818343247,0.45316884303333066,275842
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ,2,pair,1.2103644662907271,0.8573266296572474,0.8055783547637906,0.15345782383631829,0.45164516959072804,275929
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ,3,pair,1.212252863741849,0.8577326811084574,0.8063071760792172,0.15318944165787046,0.4531897446317516,275602
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ,4,pair,1.2084873804841119,0.8582831980661028,0.8069364274061341,0.1530479420656048,0.4501076734557741,275834
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ,5,pair,1.212254351487928,0.8579201942685244,0.8072036594488833,0.15319514429774778,0.4531920766476113,275338
